table_name,field_name,field_type,nullable,primary_key,default_value,comment,category
master_device,serial_no,VARCHAR(100),YES,NO,,出厂编号,基础数据表
master_device,location,VARCHAR(100),YES,NO,,安装位置,基础数据表
master_device,line_id,INTEGER,YES,NO,,产线ID,基础数据表
master_device,responsible_person,VARCHAR(50),YES,NO,,负责人,基础数据表
master_device,is_special,BOOLEAN,YES,NO,false,是否特种设备,基础数据表
master_device,status,TINYINT,YES,NO,1,状态(1运行/0停用/2维修),基础数据表
master_device,last_inspection_date,DATE,YES,NO,,上次检定日期,基础数据表
master_device,inspection_cycle,VARCHAR(50),YES,NO,,检定周期,基础数据表
master_device,next_inspection_date,DATE,YES,NO,,下次检定日期,基础数据表
master_device,manufacturer,VARCHAR(100),YES,NO,,制造商,基础数据表
master_device,purchase_date,DATE,YES,NO,,购置日期,基础数据表
master_device,warranty_end,DATE,YES,NO,,保修截止,基础数据表
master_device,created_at,DATETIME,YES,NO,,创建时间,基础数据表
master_device,updated_at,DATETIME,YES,NO,,更新时间,基础数据表
bas_line_device,id,INTEGER,NO,YES,auto_increment,主键,基础数据表
bas_line_device,line_id,INTEGER,NO,NO,,产线ID,基础数据表
bas_line_device,device_id,INTEGER,NO,NO,,设备ID,基础数据表
bas_line_device,process_id,INTEGER,YES,NO,,工序ID,基础数据表
bas_line_device,sort_order,INTEGER,YES,NO,0,排序号,基础数据表
bas_line_device,created_at,DATETIME,YES,NO,,创建时间,基础数据表
bas_line_device,updated_at,DATETIME,YES,NO,,更新时间,基础数据表
master_defect_type,defect_id,INTEGER,NO,YES,auto_increment,主键,基础数据表
master_defect_type,defect_code,VARCHAR(50),NO,NO,,不良编码,基础数据表
master_defect_type,defect_name,VARCHAR(100),NO,NO,,不良名称,基础数据表
master_defect_type,defect_type,VARCHAR(50),YES,NO,,不良类型,基础数据表
master_defect_type,category_name,VARCHAR(50),YES,NO,,分类名称,基础数据表
master_defect_type,parent_id,INTEGER,YES,NO,0,上级分类ID,基础数据表
master_defect_type,defect_unit,VARCHAR(20),YES,NO,,默认单位,基础数据表
master_defect_type,available_units,VARCHAR(255),YES,NO,,可选单位,基础数据表
master_defect_type,display,BOOLEAN,YES,NO,true,是否显示,基础数据表
master_defect_type,sort_order,INTEGER,YES,NO,0,排序号,基础数据表
master_defect_type,status,TINYINT,YES,NO,1,状态(1启用/0停用),基础数据表
master_defect_type,related_processes,VARCHAR(255),YES,NO,,关联工序,基础数据表
